Gene;P-I;P-II;P-III;A-I;A-II;A-III;S-I;S-II;S-III
Vwa5a;149.3658385;154.2895454;180.1143679;122.9268846;131.1815703;154.9525406;68.11884306;85.56296478;96.92791565
Olfr920;0;1.001880165;2.573062399;5.480816512;4.231663557;2.213607723;0;2.820757081;1.846246012
Olfr921;0;0;0;0;1.057915889;1.106803862;0;9.402523602;0
Olfr922;0;1.001880165;3.859593599;0;0;0.553401931;3.027504136;8.462271242;0
Olfr923;0;0;3.859593599;2.348921362;1.057915889;1.106803862;0;0.94025236;0
Olfr924;0;4.00752066;5.146124798;2.348921362;0;0;0;7.522018882;0
Olfr935;0;10.01880165;2.573062399;0.782973787;0;7.194225101;0;3.761009441;0
Olfr1537;0;0;6.432655998;0;0;1.106803862;0;4.701261801;0
Olfr44;0;0;0;3.13189515;0;13.28164634;0;7.522018882;1.846246012
Olfr958;1.224310151;6.01128099;0;0;0;3.320411585;6.055008272;6.581766522;0
Olfr959;0;2.00376033;2.573062399;0.782973787;0;1.660205793;1.513752068;2.820757081;0
AW551984;298.7316769;354.6655784;425.841827;339.02765;285.6372901;338.6819817;127.1551737;138.217097;112.6210068
Olfr968;7.345860908;0;10.2922496;0;0;3.320411585;3.027504136;4.701261801;0.923123006
Olfr983;0;0;1.2865312;0;0;2.213607723;0;11.28302832;0
Zfp202;75.90722938;136.2557024;142.8049631;107.2674089;103.6757572;104.039563;93.85262822;96.8459931;112.6210068
Scn3b;1.224310151;0;1.2865312;2.348921362;4.231663557;2.767009654;0;1.88050472;0
Gramd1b;58.76688726;48.09024792;77.19187197;54.02519134;32.79539257;54.23338922;42.3850579;67.69816994;67.38797945
Gm48284;3.672930454;7.013161155;1.2865312;0;0;1.660205793;0;3.761009441;1.846246012
Clmp;61.21550756;80.1504132;41.16899838;78.29737875;145.9923927;157.1661484;199.815273;209.6762763;166.1621411
Gm16096;11.01879136;17.0319628;9.005718397;5.480816512;6.347495336;6.64082317;9.082512408;0.94025236;1.846246012
Hspa8;15982.14471;16092.19921;14322.95184;16203.64253;14767.4479;14680.64642;15540.17873;13989.07462;13969.62045
Crtam;0;2.00376033;2.573062399;7.046764087;7.405411225;9.961234755;4.541256204;2.820757081;0
Ubash3b;75.90722938;81.15229336;75.90534077;100.2206448;78.28577581;89.6511128;154.4027109;131.6353304;130.1603439
1700063D05Rik;2.448620303;2.00376033;11.5787808;0.782973787;1.057915889;0.553401931;6.055008272;5.641514161;0.923123006
Mir100hg;359.9471845;281.5283264;311.3405503;299.8789606;271.8843836;276.7009654;133.210182;171.1259296;132.0065899
Gm48740;0;20.0376033;0;0;0;1.106803862;0;0;0
Sorl1;253.4322013;219.4117561;293.3291135;378.1763394;442.2088417;348.0898145;382.9792732;398.6670007;360.0179724
Sc5d;219.1515171;245.4606404;249.5870527;248.9856644;293.0427013;278.9145731;334.539207;294.2989888;302.784346
Tecta;12.24310151;9.016921485;2.573062399;23.48921362;14.81082245;14.94185213;6.055008272;7.522018882;7.38498405
Tbcel;339.1339119;538.0096486;531.3373854;458.0396657;316.3168509;368.5656859;378.438017;204.9750145;283.3987629
Grik4;29.38344363;43.08084709;23.15756159;50.1103224;37.02705613;38.73813516;22.70628102;14.1037854;20.30870614
