sample,Gene,Z-score,group,replicate
P-I,Aldh1l1,1.917169562554607,Posterior,1
P-I,Aldh1l2,0.16426551266408104,Posterior,1
P-I,Aldh2,0.4573740351666163,Posterior,1
P-I,Aldh3a2,0.48970558210824694,Posterior,1
P-I,Aldh3b2,0.881501293378857,Posterior,1
P-I,Aldh4a1,1.851263494098417,Posterior,1
P-I,Aldh5a1,1.0002380997442324,Posterior,1
P-I,Aldh6a1,-0.8918604344137496,Posterior,1
P-I,Aldh7a1,-1.2443298059456451,Posterior,1
P-I,Aldh9a1,1.0291510734559468,Posterior,1
P-I,Aldoa,1.4239622164918813,Posterior,1
P-I,Aldoart2,-1.1398769762367364,Posterior,1
P-I,Aldoc,1.169437392994343,Posterior,1
P-I,Alg1,0.663194854232766,Posterior,1
P-I,Alg10b,-0.08171909753280027,Posterior,1
P-I,Alg11,0.9836090398950488,Posterior,1
P-I,Alg12,-0.4037516138160634,Posterior,1
P-I,Alg13,1.45042894289137,Posterior,1
P-I,Alg14,2.2114974875529447,Posterior,1
P-I,Alg2,-1.1369513813709875,Posterior,1
P-I,Alg3,-0.058173276133811784,Posterior,1
P-I,Alg5,-1.1915530025382723,Posterior,1
P-I,Alg6,-0.6680470414435503,Posterior,1
P-I,Alg8,-0.2921819501838324,Posterior,1
P-I,Alg9,0.18995103438413596,Posterior,1
P-I,Alkbh1,-0.8628852091737941,Posterior,1
P-I,Alkbh2,1.829209595293569,Posterior,1
P-I,Alkbh3,0.7922352954254573,Posterior,1
P-I,Alkbh4,2.1877451980389018,Posterior,1
P-I,Alkbh5,1.865593782086566,Posterior,1
P-I,Alkbh6,-1.5691368292027053,Posterior,1
P-I,Alkbh7,0.8508200710772479,Posterior,1
P-I,Alkbh8,0.2026800805751958,Posterior,1
P-I,Alms1,-0.38204796091136856,Posterior,1
P-I,Alox12,1.3380271696457906,Posterior,1
P-I,Alox15,0.3700667901042626,Posterior,1
P-I,Alpl,-0.4827085099361692,Posterior,1
P-I,Als2,0.24469866713077493,Posterior,1
P-I,Alx3,1.0842183999216959,Posterior,1
P-I,Alx4,-1.5015060003827745,Posterior,1
P-I,Alyref,1.4153999188249549,Posterior,1
P-I,Amacr,1.6962561553450122,Posterior,1
P-I,Ambp,-0.45876261182266925,Posterior,1
P-I,Ambra1,-0.1253983113434511,Posterior,1
P-I,Amd1,0.04077972276929395,Posterior,1
P-I,Amdhd2,-0.7905634250935115,Posterior,1
P-I,Amer1,1.9918156996774008,Posterior,1
P-I,Amer2,1.6552269212158708,Posterior,1
P-I,Amfr,1.6578345942524002,Posterior,1
P-I,Ammecr1,1.2799881731485643,Posterior,1
P-I,Ammecr1l,-0.4671778657006338,Posterior,1
P-I,Amn1,1.7475473180970678,Posterior,1
P-I,Amot,1.4236421516588085,Posterior,1
P-I,Amotl1,-2.0225445824593673,Posterior,1
P-I,Amotl2,-1.6741567567390019,Posterior,1
P-I,Ampd2,-1.1426726488527945,Posterior,1
P-I,Ampd3,-0.002896562718162983,Posterior,1
P-I,Amph,0.9223538689425098,Posterior,1
P-I,Amt,-2.082520478286935,Posterior,1
P-I,Amz2,1.360628260284808,Posterior,1
P-I,Anapc1,0.9723460211072,Posterior,1
P-I,Anapc10,-2.2434749475622393,Posterior,1
P-I,Anapc11,-1.6959406362276508,Posterior,1
P-I,Anapc13,-1.8736970512858375,Posterior,1
P-I,Anapc16,0.8491209224798303,Posterior,1
P-I,Anapc2,-2.121661298933173,Posterior,1
P-I,Anapc4,1.0392883847150531,Posterior,1
P-I,Anapc5,-0.8637660061724209,Posterior,1
P-I,Anapc5.1,-1.9401310768904805,Posterior,1
P-I,Anapc7,-1.3350207528061198,Posterior,1
P-I,Angel1,-2.4623920046706864,Posterior,1
P-I,Angel2,1.705115071714098,Posterior,1
P-I,Angpt1,-0.39985523949513396,Posterior,1
P-I,Angpt2,0.09755897381166499,Posterior,1
P-I,Angptl2,1.0445964096383582,Posterior,1
P-I,Ank1,-1.2706498494196576,Posterior,1
P-I,Ank2,-0.27133971685751346,Posterior,1
P-I,Ank3,1.4098684724968955,Posterior,1
P-I,Ankfy1,-2.1883147838099015,Posterior,1
P-I,Ankh,-0.18298579261055142,Posterior,1
P-I,Ankhd1,1.1524201620406218,Posterior,1
P-I,Ankib1,-2.239701447155395,Posterior,1
P-I,Ankle1,-0.8079294724611055,Posterior,1
P-I,Ankle2,0.8212551113560896,Posterior,1
P-I,Ankmy2,-1.9245218469843928,Posterior,1
P-I,Ankrd10,-1.002541835274463,Posterior,1
P-I,Ankrd11,1.0842524619785074,Posterior,1
P-I,Ankrd13a,-0.24162514594690163,Posterior,1
P-I,Ankrd13c,1.2227592614751632,Posterior,1
P-I,Ankrd13d,0.37951617639958496,Posterior,1
P-I,Ankrd16,-1.6629300195539392,Posterior,1
P-I,Ankrd17,0.7027439457250849,Posterior,1
P-I,Ankrd26,-2.3008264676319112,Posterior,1
P-I,Ankrd27,-0.5850788317712183,Posterior,1
P-I,Ankrd28,-0.7234386326406922,Posterior,1
P-I,Ankrd34b,1.0415315167732437,Posterior,1
P-I,Ankrd39,-1.5493536359795872,Posterior,1
P-I,Ankrd40,1.2621819699107133,Posterior,1
P-I,Ankrd44,1.3063656197428921,Posterior,1
P-I,Ankrd46,1.0847131588196262,Posterior,1
P-I,Ankrd49,-2.2826194039944716,Posterior,1
P-I,Ankrd50,1.3296276587021674,Posterior,1
P-I,Ankrd52,0.3801073869200938,Posterior,1
P-I,Ankrd54,-1.0873351329388459,Posterior,1
P-I,Ankrd9,2.8038374615185,Posterior,1
P-I,Anks1,-2.43536036435627,Posterior,1
P-I,Anks1.1,-1.8540249688673158,Posterior,1
P-I,Anks3,-2.1447015323290453,Posterior,1
P-I,Anks6,0.08173896769137648,Posterior,1
P-I,Ankzf1,-0.5801789083466242,Posterior,1
P-I,Anln,1.25321567991695,Posterior,1
P-I,Ano10,0.9421286692921778,Posterior,1
P-I,Ano6,-0.21599440413787657,Posterior,1
P-I,Ano8,1.8303344385694933,Posterior,1
P-I,Anp32a,-2.4791239539878482,Posterior,1
P-I,Anp32b,0.5670219860788768,Posterior,1
P-I,Anp32e,2.06019754567178,Posterior,1
P-I,Anpep,-0.882149488469019,Posterior,1
P-I,Antkmt,-1.374569389615283,Posterior,1
P-I,Antxr1,0.9962012277742188,Posterior,1
P-I,Antxr2,2.178374536223656,Posterior,1
P-I,Anxa1,0.6469799763863079,Posterior,1
P-I,Anxa11,-1.7346099045303998,Posterior,1
P-I,Anxa2,-2.1352011843543224,Posterior,1
P-I,Anxa3,1.60816819787195,Posterior,1
P-I,Anxa4,0.862277940872581,Posterior,1
P-I,Anxa5,1.9379830259533628,Posterior,1
P-I,Anxa6,-0.9347641135121432,Posterior,1
P-I,Anxa7,-1.092744795628088,Posterior,1
P-I,Anxa8,-2.1801632338304135,Posterior,1
P-I,Aopep,-0.9953847663757317,Posterior,1
P-I,Ap1ar,1.7888379636562726,Posterior,1
P-I,Ap1b1,-0.8359532305262937,Posterior,1
P-I,Ap1g1,-1.163620069251211,Posterior,1
P-I,Ap1g2,-1.6762402184318657,Posterior,1
P-I,Ap1m1,-1.1502989054016814,Posterior,1
